2020-07-09 18:07:15 status half-configured libc6:armhf 2.28-10
2020-07-09 18:07:16 status installed libc6:armhf 2.28-10
2020-07-09 18:07:16 configure libudev1:armhf 241-7~deb10u4 <none>
2020-07-09 18:07:16 status unpacked libudev1:armhf 241-7~deb10u4
2020-07-09 18:07:16 status half-configured libudev1:armhf 241-7~deb10u4
2020-07-09 18:07:16 status installed libudev1:armhf 241-7~deb10u4
2020-07-09 18:07:16 configure libsepol1:armhf 2.8-1 <none>
2020-07-09 18:07:16 status unpacked libsepol1:armhf 2.8-1
2020-07-09 18:07:16 status half-configured libsepol1:armhf 2.8-1
2020-07-09 18:07:16 status installed libsepol1:armhf 2.8-1
2020-07-09 18:07:16 configure libattr1:armhf 1:2.4.48-4 <none>
2020-07-09 18:07:16 status unpacked libattr1:armhf 1:2.4.48-4
2020-07-09 18:07:16 status half-configured libattr1:armhf 1:2.4.48-4
2020-07-09 18:07:16 status installed libattr1:armhf 1:2.4.48-4
2020-07-09 18:07:16 configure libtasn1-6:armhf 4.13-3 <none>
2020-07-09 18:07:16 status unpacked libtasn1-6:armhf 4.13-3
2020-07-09 18:07:16 status half-configured libtasn1-6:armhf 4.13-3
2020-07-09 18:07:16 status installed libtasn1-6:armhf 4.13-3
2020-07-09 18:07:16 configure debianutils:armhf 4.8.6.1 <none>
2020-07-09 18:07:16 status unpacked debianutils:armhf 4.8.6.1
2020-07-09 18:07:16 status half-configured debianutils:armhf 4.8.6.1
2020-07-09 18:07:16 status installed debianutils:armhf 4.8.6.1
2020-07-09 18:07:16 configure mawk:armhf 1.3.3-17+b3 <none>
2020-07-09 18:07:16 status unpacked mawk:armhf 1.3.3-17+b3
2020-07-09 18:07:16 status half-configured mawk:armhf 1.3.3-17+b3
2020-07-09 18:07:16 status installed mawk:armhf 1.3.3-17+b3
2020-07-09 18:07:16 configure libdebconfclient0:armhf 0.249 <none>
2020-07-09 18:07:16 status unpacked libdebconfclient0:armhf 0.249
2020-07-09 18:07:16 status half-configured libdebconfclient0:armhf 0.249
2020-07-09 18:07:16 status installed libdebconfclient0:armhf 0.249
2020-07-09 18:07:16 configure base-files:armhf 10.3+deb10u4 <none>
2020-07-09 18:07:16 status unpacked base-files:armhf 10.3+deb10u4
2020-07-09 18:07:17 status half-configured base-files:armhf 10.3+deb10u4
2020-07-09 18:07:17 status installed base-files:armhf 10.3+deb10u4
2020-07-09 18:07:17 configure libbz2-1.0:armhf 1.0.6-9.2~deb10u1 <none>
